Año,Provincia,Partido,Votos
2006,SAN JOSÉ,PATRIA PRIMERO,6873
2006,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,16928
2006,SAN JOSÉ,UNIÓN NACIONAL,11874
2006,SAN JOSÉ,UNIÓN PARA EL CAMBIO,16422
2006,ALAJUELA,ACCIÓN CIUDADANA,135750
2006,ALAJUELA,LIBERACIÓN NACIONAL,125364
2006,ALAJUELA,MOVIMIENTO LIBERTARIO,20388
2006,ALAJUELA,PATRIA PRIMERO,3166
2006,ALAJUELA,UNIDAD SOCIAL CRISTIANA,8425
2006,ALAJUELA,UNIÓN NACIONAL,4161
2006,ALAJUELA,UNIÓN PARA EL CAMBIO,6780
2006,CARTAGO,ACCIÓN CIUDADANA,77175
2006,CARTAGO,LIBERACIÓN NACIONAL,82504
2006,CARTAGO,MOVIMIENTO LIBERTARIO,20908
2006,CARTAGO,PATRIA PRIMERO,2616
2006,CARTAGO,UNIDAD SOCIAL CRISTIANA,6610
2006,CARTAGO,UNIÓN NACIONAL,3574
2006,CARTAGO,UNIÓN PARA EL CAMBIO,5623
2006,HEREDIA,ACCIÓN CIUDADANA,73692
2006,HEREDIA,LIBERACIÓN NACIONAL,66122
2006,HEREDIA,MOVIMIENTO LIBERTARIO,13055
2006,HEREDIA,PATRIA PRIMERO,1570
2006,HEREDIA,UNIDAD SOCIAL CRISTIANA,4717
2006,HEREDIA,UNIÓN NACIONAL,2559
2006,HEREDIA,UNIÓN PARA EL CAMBIO,3985
2006,GUANACASTE,ACCIÓN CIUDADANA,32712
2006,GUANACASTE,LIBERACIÓN NACIONAL,52210
2006,GUANACASTE,MOVIMIENTO LIBERTARIO,6779
2006,GUANACASTE,PATRIA PRIMERO,793
2006,GUANACASTE,UNIDAD SOCIAL CRISTIANA,6181
2006,GUANACASTE,UNIÓN NACIONAL,1194
2006,GUANACASTE,UNIÓN PARA EL CAMBIO,1677
2006,PUNTARENAS,ACCIÓN CIUDADANA,36886
2006,PUNTARENAS,LIBERACIÓN NACIONAL,57872
2006,PUNTARENAS,MOVIMIENTO LIBERTARIO,11813
2006,PUNTARENAS,PATRIA PRIMERO,1311
2006,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,7987
2006,PUNTARENAS,UNIÓN NACIONAL,1264
2006,PUNTARENAS,UNIÓN PARA EL CAMBIO,2176
2006,LIMÓN,ACCIÓN CIUDADANA,31191
2006,LIMÓN,LIBERACIÓN NACIONAL,42606
2006,LIMÓN,MOVIMIENTO LIBERTARIO,14252
2006,LIMÓN,PATRIA PRIMERO,1265
2006,LIMÓN,UNIDAD SOCIAL CRISTIANA,6807
2006,LIMÓN,UNIÓN NACIONAL,1967
2006,LIMÓN,UNIÓN PARA EL CAMBIO,2894
2010,SAN JOSÉ,ACCESIBILIDAD SIN EXCLUSIÓN,14454
2010,SAN JOSÉ,ACCIÓN CIUDADANA,200382
2010,SAN JOSÉ,LIBERACIÓN NACIONAL,322976
2010,SAN JOSÉ,MOVIMIENTO LIBERTARIO,122116
2010,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,24609
2010,ALAJUELA,ACCESIBILIDAD SIN EXCLUSIÓN,6760
2010,ALAJUELA,ACCIÓN CIUDADANA,97399
2010,ALAJUELA,LIBERACIÓN NACIONAL,166655
2010,ALAJUELA,MOVIMIENTO LIBERTARIO,80590
2010,ALAJUELA,UNIDAD SOCIAL CRISTIANA,11887
2010,CARTAGO,ACCESIBILIDAD SIN EXCLUSIÓN,5026
2010,CARTAGO,ACCIÓN CIUDADANA,56095
2010,CARTAGO,LIBERACIÓN NACIONAL,118926
2010,CARTAGO,MOVIMIENTO LIBERTARIO,46414
2010,CARTAGO,UNIDAD SOCIAL CRISTIANA,10143
2010,HEREDIA,ACCESIBILIDAD SIN EXCLUSIÓN,3677
2010,HEREDIA,ACCIÓN CIUDADANA,55425
2010,HEREDIA,LIBERACIÓN NACIONAL,93471
2010,HEREDIA,MOVIMIENTO LIBERTARIO,39016
2010,HEREDIA,UNIDAD SOCIAL CRISTIANA,6382
2010,GUANACASTE,ACCESIBILIDAD SIN EXCLUSIÓN,2038
2010,GUANACASTE,ACCIÓN CIUDADANA,20341
2010,GUANACASTE,LIBERACIÓN NACIONAL,65843
2010,GUANACASTE,MOVIMIENTO LIBERTARIO,29841
2010,GUANACASTE,UNIDAD SOCIAL CRISTIANA,7777
2010,PUNTARENAS,ACCESIBILIDAD SIN EXCLUSIÓN,1881
2010,PUNTARENAS,ACCIÓN CIUDADANA,26014
2010,PUNTARENAS,LIBERACIÓN NACIONAL,73431
2010,PUNTARENAS,MOVIMIENTO LIBERTARIO,40078
2010,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,6676
2010,LIMÓN,ACCESIBILIDAD SIN EXCLUSIÓN,2268
2010,LIMÓN,ACCIÓN CIUDADANA,23221
2010,LIMÓN,LIBERACIÓN NACIONAL,55214
2010,LIMÓN,MOVIMIENTO LIBERTARIO,41733
2010,LIMÓN,UNIDAD SOCIAL CRISTIANA,6640
2014,SAN JOSÉ,ACCIÓN CIUDADANA,265637
2014,SAN JOSÉ,FRENTE AMPLIO,111109
2014,SAN JOSÉ,LIBERACIÓN NACIONAL,209006
2014,SAN JOSÉ,MOVIMIENTO LIBERTARIO,73552
2014,SAN JOSÉ,PATRIA NUEVA,10621
2014,SAN JOSÉ,RESTAURACIÓN NACIONAL,10416
2014,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,38814
2014,ALAJUELA,ACCIÓN CIUDADANA,124172
2014,ALAJUELA,FRENTE AMPLIO,73333
2014,ALAJUELA,LIBERACIÓN NACIONAL,119081
2014,ALAJUELA,MOVIMIENTO LIBERTARIO,41389
2014,ALAJUELA,PATRIA NUEVA,8511
2014,ALAJUELA,RESTAURACIÓN NACIONAL,4577
2014,ALAJUELA,UNIDAD SOCIAL CRISTIANA,21443
2014,CARTAGO,ACCIÓN CIUDADANA,89965
2014,CARTAGO,FRENTE AMPLIO,37969
2014,CARTAGO,LIBERACIÓN NACIONAL,71981
2014,CARTAGO,MOVIMIENTO LIBERTARIO,29391
2014,CARTAGO,PATRIA NUEVA,5492
2014,CARTAGO,RESTAURACIÓN NACIONAL,2286
2014,CARTAGO,UNIDAD SOCIAL CRISTIANA,16357
2014,HEREDIA,ACCIÓN CIUDADANA,85093
2014,HEREDIA,FRENTE AMPLIO,36437
2014,HEREDIA,LIBERACIÓN NACIONAL,56900
2014,HEREDIA,MOVIMIENTO LIBERTARIO,21699
2014,HEREDIA,PATRIA NUEVA,2668
2014,HEREDIA,RESTAURACIÓN NACIONAL,2738
2014,HEREDIA,UNIDAD SOCIAL CRISTIANA,11538
2014,GUANACASTE,ACCIÓN CIUDADANA,20277
2014,GUANACASTE,FRENTE AMPLIO,26099
2014,GUANACASTE,LIBERACIÓN NACIONAL,55598
2014,GUANACASTE,MOVIMIENTO LIBERTARIO,17413
2014,GUANACASTE,PATRIA NUEVA,1212
2014,GUANACASTE,RESTAURACIÓN NACIONAL,1732
2014,GUANACASTE,UNIDAD SOCIAL CRISTIANA,10690
2014,PUNTARENAS,ACCIÓN CIUDADANA,22956
2014,PUNTARENAS,FRENTE AMPLIO,37762
2014,PUNTARENAS,LIBERACIÓN NACIONAL,55963
2014,PUNTARENAS,MOVIMIENTO LIBERTARIO,23735
2014,PUNTARENAS,PATRIA NUEVA,1169
2014,PUNTARENAS,RESTAURACIÓN NACIONAL,3260
2014,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,13769
2014,LIMÓN,ACCIÓN CIUDADANA,20619
2014,LIMÓN,FRENTE AMPLIO,31367
2014,LIMÓN,LIBERACIÓN NACIONAL,41368
2014,LIMÓN,MOVIMIENTO LIBERTARIO,25640
2014,LIMÓN,PATRIA NUEVA,1112
2014,LIMÓN,RESTAURACIÓN NACIONAL,2666
2014,LIMÓN,UNIDAD SOCIAL CRISTIANA,10929
2018,SAN JOSÉ,ACCIÓN CIUDADANA,177643
2018,SAN JOSÉ,INTEGRACIÓN NACIONAL,68058
2018,SAN JOSÉ,LIBERACIÓN NACIONAL,135883
2018,SAN JOSÉ,MOVIMIENTO LIBERTARIO,7674
2018,SAN JOSÉ,REPUBLICANO SOCIAL CRISTIANO,34676
2018,SAN JOSÉ,RESTAURACIÓN NACIONAL,172975
2018,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,135880
2018,ALAJUELA,ACCIÓN CIUDADANA,92385
2018,ALAJUELA,INTEGRACIÓN NACIONAL,37462
2018,ALAJUELA,LIBERACIÓN NACIONAL,76848
2018,ALAJUELA,MOVIMIENTO LIBERTARIO,3847
2018,ALAJUELA,REPUBLICANO SOCIAL CRISTIANO,23023
2018,ALAJUELA,RESTAURACIÓN NACIONAL,113234
2018,ALAJUELA,UNIDAD SOCIAL CRISTIANA,64459
2018,CARTAGO,ACCIÓN CIUDADANA,72528
2018,CARTAGO,INTEGRACIÓN NACIONAL,29839
2018,CARTAGO,LIBERACIÓN NACIONAL,55345
2018,CARTAGO,MOVIMIENTO LIBERTARIO,2814
2018,CARTAGO,REPUBLICANO SOCIAL CRISTIANO,17464
2018,CARTAGO,RESTAURACIÓN NACIONAL,41211
2018,CARTAGO,UNIDAD SOCIAL CRISTIANA,41337
2018,HEREDIA,ACCIÓN CIUDADANA,64449
2018,HEREDIA,INTEGRACIÓN NACIONAL,19075
2018,HEREDIA,LIBERACIÓN NACIONAL,41780
2018,HEREDIA,MOVIMIENTO LIBERTARIO,2410
2018,HEREDIA,REPUBLICANO SOCIAL CRISTIANO,8792
2018,HEREDIA,RESTAURACIÓN NACIONAL,50033
2018,HEREDIA,UNIDAD SOCIAL CRISTIANA,42705
2018,GUANACASTE,ACCIÓN CIUDADANA,21089
2018,GUANACASTE,INTEGRACIÓN NACIONAL,15653
2018,GUANACASTE,LIBERACIÓN NACIONAL,32937
2018,GUANACASTE,MOVIMIENTO LIBERTARIO,1346
2018,GUANACASTE,REPUBLICANO SOCIAL CRISTIANO,7266
2018,GUANACASTE,RESTAURACIÓN NACIONAL,35733
2018,GUANACASTE,UNIDAD SOCIAL CRISTIANA,22108
2018,PUNTARENAS,ACCIÓN CIUDADANA,20330
2018,PUNTARENAS,INTEGRACIÓN NACIONAL,19462
